
#Thanksgiving Cabin Power System
#Time is in UNIX Time#Created: 2021-04-23 at 11:53:53 or 1619178833 in UNIX time
#Timestamp,Battery Voltage (V),Solar Voltage (V),Load Amps (A),Battery Amps (A),Solar Amps (A),Battery percentage, Power into Battery (w), Power to loads (w),Outside Temp (C),Cabin Temp (C),Battery Temp (C)
1619178833,14.04,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,9.38,8.38,8.63
1619180639,14.04,0.00,-0.01,0.07,0.00,-1.00,0.00,0.00,9.50,8.50,8.63
1619182445,14.04,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,9.75,8.56,8.63
1619184251,14.08,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,9.25,8.63,8.63
1619186057,14.08,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,8.75,8.69,8.63
1619187863,14.08,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,8.19,8.69,8.63
1619189669,14.08,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,8.25,8.69,8.63
1619191475,14.08,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,7.75,8.69,8.63
1619193281,14.08,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,7.75,8.69,8.69
1619195087,14.08,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,7.38,8.69,8.69
1619196893,13.92,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,7.13,8.63,8.69
1619198699,13.78,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,6.38,8.56,8.63
1619200505,13.74,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,6.13,8.50,8.63
1619202310,13.63,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,5.88,8.44,8.56
1619204116,13.50,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,5.50,8.31,8.56
1619205922,13.39,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,5.25,8.19,8.50
1619207728,13.29,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.94,8.06,8.44
1619209533,13.20,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.75,7.94,8.38
1619211339,13.12,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.50,7.81,8.31
1619213144,13.06,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.38,7.69,8.25
1619214950,13.01,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.25,7.56,8.13
1619216755,12.98,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.13,7.38,8.06
1619218561,12.95,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.19,7.25,7.94
1619220366,12.93,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.06,7.13,7.88
1619222171,12.91,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.00,7.00,7.75
1619223976,12.89,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.81,6.88,7.69
1619225781,12.88,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-127.00,-127.00,-127.00
1619227586,12.86,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,-127.00,-127.00,-127.00
1619229391,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,85.00,85.00,85.00
1619231196,12.83,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.50,6.38,7.25
1619233001,12.82,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.50,6.31,7.13
1619234805,12.82,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.38,6.19,7.06
1619236610,12.81,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.38,6.06,6.94
1619238415,12.80,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.31,5.94,6.81
1619240219,12.80,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.31,5.81,6.75
1619242024,12.80,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.31,5.75,6.63
1619243828,12.80,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.38,5.63,6.50
1619245632,12.90,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,3.56,5.56,6.44
1619247437,13.09,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,3.75,5.50,6.38
1619249241,13.20,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,3.88,5.44,6.25
1619251045,13.46,0.00,-0.01,0.09,0.00,-1.00,0.00,0.00,85.00,85.00,85.00
1619252850,14.56,0.00,-0.01,0.18,0.00,-1.00,0.00,0.00,85.00,-127.00,-127.00
1619254656,14.56,0.00,-0.01,0.13,0.00,-1.00,0.00,0.00,-127.00,-127.00,-127.00
1619256462,14.56,0.00,-0.01,0.11,0.00,-1.00,0.00,0.00,4.81,5.31,5.94
1619258267,14.56,0.00,-0.01,0.10,0.00,-1.00,0.00,0.00,5.31,5.31,5.94
1619260073,14.56,0.00,-0.01,0.10,0.00,-1.00,0.00,0.00,5.50,5.31,5.88
1619261879,14.56,0.00,-0.01,0.09,0.00,-1.00,0.00,0.00,5.69,5.31,5.88
1619263684,14.16,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,6.19,5.38,5.81
1619265488,14.13,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,6.81,5.44,5.81
1619267293,14.13,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,7.13,5.56,5.75
1619269097,14.13,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,6.88,5.63,5.81
1619270902,14.13,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,7.38,5.75,5.81
1619272706,14.16,0.00,-0.01,0.07,0.00,-1.00,0.00,0.00,6.88,5.81,5.81
1619274511,14.13,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,7.25,5.88,5.81
1619276316,14.13,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,7.13,6.00,5.88
1619278120,14.16,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,6.31,6.00,5.88
1619279925,14.08,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,6.00,6.06,5.94
1619281730,13.98,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,5.63,6.06,5.94
1619283534,14.05,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,5.38,6.00,5.94
1619285339,13.98,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,5.38,6.00,6.00
1619287144,13.87,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,5.19,6.00,6.00
1619288949,13.72,0.00,-0.01,-0.02,0.00,-1.00,0.00,0.00,5.00,5.94,6.00
1619290753,13.58,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.63,5.88,6.00
1619292558,13.47,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.38,5.88,6.00
1619294362,13.36,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.38,5.81,6.00
1619296167,13.26,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.19,5.75,5.94
1619297971,13.18,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.06,5.69,5.94
1619299776,13.10,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.00,5.63,5.94
1619301580,13.04,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.88,5.56,5.88
1619303385,12.99,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.81,5.50,5.81
1619305189,12.96,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.75,5.38,5.81
1619306993,12.93,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.75,5.31,5.75
1619308798,12.90,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.69,5.25,5.69
1619310602,12.88,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.69,5.19,5.69
1619312406,12.86,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.69,5.13,5.63
1619314210,12.85,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.63,5.06,5.56
1619316014,12.83,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.63,5.00,5.50
1619317818,12.82,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.50,4.94,5.50
1619319622,12.81,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.50,4.88,5.44
1619321426,12.80,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.44,4.81,5.38
1619323230,12.79,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.44,4.75,5.31
1619325034,12.79,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.38,4.69,5.25
1619326838,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.38,4.63,5.19
1619328642,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.38,4.56,5.19
1619330446,12.83,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,3.44,4.50,5.06
1619332250,12.94,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,3.56,4.50,5.06
1619334054,13.58,0.00,-0.01,0.20,0.00,-1.00,0.00,0.00,4.06,4.44,5.00
1619335858,13.86,0.00,-0.01,0.12,0.00,-1.00,0.00,0.00,4.38,4.44,4.94
1619337664,14.56,0.00,-0.01,0.13,0.00,-1.00,0.00,0.00,4.81,4.44,4.94
1619339470,14.56,0.00,-0.01,0.11,0.00,-1.00,0.00,0.00,5.63,4.50,4.88
1619341277,14.56,0.00,-0.01,0.10,0.00,-1.00,0.00,0.00,6.13,4.56,4.88
1619343083,14.56,0.00,-0.01,0.10,0.00,-1.00,0.00,0.00,6.94,4.69,4.88
1619344889,14.16,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,7.38,4.88,4.88
1619346693,14.16,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,7.31,5.06,4.94
1619348498,14.16,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,7.19,5.19,4.94
1619350302,14.16,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,7.69,5.31,5.00
1619352107,14.16,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,7.69,5.50,5.06
1619353911,14.16,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,7.25,5.63,5.13
1619355716,14.16,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,6.94,5.63,5.19
1619357520,14.16,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,7.00,5.69,5.25
1619359325,14.16,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,7.19,5.81,5.31
1619361129,14.16,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,7.19,5.88,5.38
1619362934,14.16,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,6.63,5.94,5.44
1619364739,14.16,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,6.50,6.00,5.50
1619366544,14.16,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,6.38,6.00,5.56
1619368348,14.16,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,6.19,6.00,5.63
1619370153,14.17,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,6.06,6.00,5.69
1619371958,14.08,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,5.81,6.00,5.69
1619373763,13.91,0.00,-0.01,-0.02,0.00,-1.00,0.00,0.00,5.56,6.00,5.75
1619375568,13.75,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,5.44,5.94,5.75
1619377372,13.62,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,5.13,5.94,5.75
1619379177,13.50,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.81,5.88,5.75
1619380982,13.40,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.75,5.81,5.81
1619382786,13.30,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.56,5.75,5.75
1619384591,13.21,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.50,5.69,5.81
1619386395,13.13,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.25,5.63,5.75
1619388200,13.06,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.25,5.56,5.75
1619390004,13.00,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.06,5.50,5.75
1619391809,12.96,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.06,5.44,5.69
1619393613,12.93,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.06,5.38,5.69
1619395418,12.91,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.06,5.31,5.63
1619397222,12.89,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.00,5.25,5.63
1619399026,12.87,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.94,5.19,5.56
1619400831,12.85,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.94,5.19,5.56
1619402635,12.83,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.00,5.13,5.50
1619404439,12.82,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.88,5.06,5.44
1619406243,12.81,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.88,5.00,5.44
1619408048,12.80,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.88,4.94,5.38
1619409852,12.79,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.88,4.88,5.31
1619411656,12.79,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.88,4.81,5.31
1619413460,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.94,4.81,5.25
1619415264,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.94,4.75,5.25
1619417069,12.82,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,4.06,4.69,5.19
1619418873,13.04,0.00,-0.01,0.08,0.00,-1.00,0.00,0.00,4.19,4.69,5.13
1619420677,13.42,0.00,-0.01,0.16,0.00,-1.00,0.00,0.00,4.56,4.69,5.13
1619422482,14.57,0.00,-0.01,0.21,0.00,-1.00,0.00,0.00,5.06,4.69,5.06
1619424289,14.56,0.00,-0.01,0.12,0.00,-1.00,0.00,0.00,5.56,4.69,5.06
1619426095,14.56,0.00,-0.01,0.11,0.00,-1.00,0.00,0.00,6.31,4.75,5.06
1619427902,14.56,0.00,-0.01,0.10,0.00,-1.00,0.00,0.00,6.44,4.94,5.06
1619429709,14.56,0.00,-0.01,0.09,0.00,-1.00,0.00,0.00,6.56,5.00,5.06
1619431515,14.56,0.00,-0.01,0.09,0.00,-1.00,0.00,0.00,6.38,5.19,5.06
1619433321,14.16,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,6.63,5.31,5.06
1619435125,14.16,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,7.25,5.44,5.13
1619436930,14.16,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,8.63,5.56,5.19
1619438735,14.16,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,7.69,5.69,5.25
1619440539,14.16,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,7.81,5.88,5.31
1619442344,14.16,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,8.00,6.06,5.44
1619444149,14.16,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,7.63,6.19,5.50
1619445954,14.16,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,7.44,6.19,5.56
1619447758,14.16,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,7.75,6.25,5.69
1619449563,14.13,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,7.81,6.38,5.75
1619451368,14.14,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,7.31,6.50,5.81
1619453173,14.13,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,7.56,6.56,5.88
1619454978,14.13,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,7.06,6.63,5.94
1619456783,14.13,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,6.94,6.56,6.00
1619458588,14.13,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,6.44,6.56,6.06
1619460393,14.08,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,6.31,6.56,6.13
1619462198,13.90,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,5.94,6.56,6.19
1619464003,13.75,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,5.50,6.50,6.19
1619465808,13.62,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,5.38,6.44,6.25
1619467613,13.50,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,5.06,6.38,6.25
1619469418,13.40,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.88,6.31,6.25
1619471223,13.30,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.56,6.25,6.25
1619473027,13.21,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.63,6.19,6.25
1619474832,13.13,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.44,6.13,6.25
1619476637,13.06,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.25,6.06,6.19
1619478442,13.01,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.31,5.94,6.19
1619480246,12.96,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.25,5.88,6.13
1619482051,12.94,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.13,5.81,6.13
1619483855,12.91,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.88,5.75,6.06
1619485660,12.89,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.69,5.63,6.06
1619487464,12.87,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.69,5.56,6.00
1619489269,12.85,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.69,5.44,5.94
1619491073,12.83,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.69,5.38,5.88
1619492878,12.82,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.69,5.25,5.81
1619494682,12.81,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.63,5.19,5.75
1619496487,12.80,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.69,5.13,5.69
1619498291,12.79,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.69,5.06,5.63
1619500095,12.79,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.81,5.00,5.56
1619501900,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,3.69,4.94,5.56
1619503704,12.80,0.00,-0.01,-0.00,0.00,-1.00,0.00,0.00,3.94,4.88,5.50
1619505508,12.84,0.00,-0.01,0.00,0.00,-1.00,0.00,0.00,4.06,4.81,5.44
1619507312,12.87,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,4.13,4.75,5.38
1619509117,12.92,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,4.19,4.75,5.31
1619510921,13.04,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,4.38,4.75,5.25
1619512725,13.08,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,4.38,4.69,5.25
1619514529,13.27,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,4.69,4.69,5.19
1619516334,13.60,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,4.81,4.69,5.19
1619518138,13.74,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,4.94,4.69,5.13
1619519942,13.72,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,4.94,4.75,5.13
1619521747,13.76,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,4.88,4.75,5.13
1619523551,13.95,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,5.06,4.75,5.06
1619525356,13.96,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,5.06,4.81,5.06
1619527161,14.46,0.00,-0.01,0.11,0.00,-1.00,0.00,0.00,5.38,4.88,5.06
1619528966,14.56,0.00,-0.01,0.12,0.00,-1.00,0.00,0.00,5.31,4.88,5.06
1619530772,14.56,0.00,-0.01,0.10,0.00,-1.00,0.00,0.00,5.44,4.94,5.06
1619532578,14.56,0.00,-0.01,0.09,0.00,-1.00,0.00,0.00,5.56,5.00,5.06
1619534385,14.56,0.00,-0.01,0.09,0.00,-1.00,0.00,0.00,5.63,5.06,5.06
1619536190,14.28,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,5.38,5.13,5.06
1619537996,14.42,0.00,-0.01,0.07,0.00,-1.00,0.00,0.00,5.38,5.13,5.13
1619539802,14.43,0.00,-0.01,0.08,0.00,-1.00,0.00,0.00,5.50,5.13,5.13
1619541606,14.12,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,5.19,5.13,5.13
1619543411,14.10,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,5.19,5.13,5.13
1619545215,13.96,0.00,-0.01,-0.00,0.00,-1.00,0.00,0.00,5.13,5.13,5.19
1619547020,13.86,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,5.00,5.13,5.19
1619548824,13.72,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.81,5.13,5.19
1619550629,13.58,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.75,5.13,5.19
1619552433,13.47,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.75,5.13,5.19
1619554237,13.36,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.56,5.06,5.19
1619556042,13.26,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.31,5.06,5.19
1619557846,13.18,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.19,5.00,5.19
1619559651,13.10,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.25,4.94,5.19
1619561455,13.04,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.31,4.88,5.13
1619563259,12.98,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.25,4.88,5.13
1619565063,12.94,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.31,4.88,5.13
1619566868,12.91,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.25,4.81,5.13
1619568672,12.88,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.19,4.75,5.06
1619570476,12.86,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.25,4.75,5.06
1619572280,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.25,4.75,5.06
1619574084,12.82,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.25,4.69,5.06
1619575888,12.81,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.19,4.69,5.00
1619577692,12.80,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.13,4.63,5.00
1619579497,12.79,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.13,4.63,5.00
1619581301,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.06,4.56,4.94
1619583105,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.06,4.56,4.94
1619584909,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.00,4.50,4.88
1619586713,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.06,4.50,4.88
1619588517,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.25,4.44,4.81
1619590321,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.19,4.44,4.81
1619592125,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.13,4.44,4.81
1619593929,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.19,4.44,4.81
1619595733,12.80,0.00,-0.01,-0.02,0.00,-1.00,0.00,0.00,4.31,4.38,4.75
1619597537,12.83,0.00,-0.01,-0.00,0.00,-1.00,0.00,0.00,4.50,4.38,4.75
1619599341,12.88,0.00,-0.01,0.02,0.00,-1.00,0.00,0.00,4.63,4.38,4.75
1619601145,12.95,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,4.75,4.38,4.69
1619602949,13.03,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,4.94,4.44,4.69
1619604753,13.16,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,5.13,4.44,4.69
1619606557,13.22,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,5.19,4.44,4.69
1619608361,13.24,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,5.19,4.44,4.63
1619610166,13.33,0.00,-0.01,0.09,0.00,-1.00,0.00,0.00,5.25,4.50,4.69
1619611970,13.44,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,5.38,4.56,4.63
1619613774,13.58,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,5.50,4.56,4.69
1619615578,13.55,0.00,-0.01,0.01,0.00,-1.00,0.00,0.00,5.44,4.63,4.69
1619617383,13.63,0.00,-0.01,0.06,0.00,-1.00,0.00,0.00,5.50,4.69,4.69
1619619187,13.64,0.00,-0.01,0.05,0.00,-1.00,0.00,0.00,5.56,4.69,4.69
1619620991,13.68,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,5.56,4.75,4.69
1619622796,13.72,0.00,-0.01,0.04,0.00,-1.00,0.00,0.00,5.75,4.81,4.69
1619624600,13.70,0.00,-0.01,0.03,0.00,-1.00,0.00,0.00,5.56,4.81,4.75
1619626404,13.62,0.00,-0.01,-0.01,0.00,-1.00,0.00,0.00,5.38,4.81,4.75
1619628209,13.55,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,5.31,4.81,4.75
1619630013,13.41,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,5.13,4.81,4.81
1619631817,13.29,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.94,4.81,4.81
1619633621,13.18,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.81,4.81,4.81
1619635426,13.10,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.69,4.81,4.81
1619637230,13.02,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.56,4.81,4.88
1619639034,12.96,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.38,4.75,4.88
1619640838,12.91,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.25,4.75,4.88
1619642642,12.87,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.31,4.69,4.88
1619644446,12.84,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.31,4.69,4.88
1619646250,12.81,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.38,4.69,4.88
1619648054,12.80,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.44,4.63,4.88
1619649858,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.44,4.63,4.81
1619651662,12.78,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.44,4.63,4.81
1619653466,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.50,4.56,4.81
1619655270,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.56,4.63,4.81
1619657074,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.63,4.56,4.81
1619658878,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.81,4.56,4.75
1619660682,12.77,0.00,-0.01,-0.03,0.00,-1.00,0.00,0.00,4.94,4.56,4.75
